id,publication_id,edition_id,title,author_creator,date_period,year,place_of_publishing,publisher,language,subject_keywords,url_original_object
401356,434253,401356,Հենրիկ Սենկևիչը և հայ գրականությունը,"Բարսեղյան, Բելլա",1978.0,1978.0,Երևան,Հայկական ՍՍՀ ԳԱ հրատ.,hy,Հենրիկ Սենկևիչ հայ գրականագիտություն,https://arar.sci.am/dlibra/publication/434253/edition/401356
418243,450540,418243,Հիշողություններ և դիմաստվերներ,"Շահազիզ, Երվանդ",1980.0,1980.0,Երևան,ՀՍՍՀ ԳԱ հրատ.,hy,Հուշագրություններ Հայ գրականագիտություն,https://arar.sci.am/dlibra/publication/450540/edition/418243
423187,455896,423187,Հոդվածներ և ելույթներ ; Աֆորիզմներ,"Իսահակյան, Ավետիք",2021.0,2021.0,Երևան,ՀՀ ԳԱԱ «Գիտություն» հրատ.,hy,Հայ գրականություն Երկերի ժողովածու,https://arar.sci.am/dlibra/publication/455896/edition/423187
376819,407709,376819,Հոդվածների ժողովածու,"Խանզադյան, Ցոլակ",1963.0,1963.0,Երևան,ՀՍՍՌ ԳԱ հրատ.,hy,Հայ գրականագիտություն,https://arar.sci.am/dlibra/publication/407709/edition/376819
388009,419783,388009,Հոդվածների ժողովածու,"Խանզադյան, Ցոլակ",1963.0,1963.0,Երևան,Հայկական ՍՍՌ ԳԱ հրատ.,hy,Հայ գրականագիտություն,https://arar.sci.am/dlibra/publication/419783/edition/388009
376388,407247,376388,Հովհաննես Թումանյանը և ռուս գրականությունը,"Թումանյան, Ն.",1956.0,1956.0,Երևան,ՀՍՍՌ ԳԱ հրատ.,hy,Հայ գրականագիտություն Հայ անվանի գրողներ Գրական կապեր,https://arar.sci.am/dlibra/publication/407247/edition/376388
409151,443108,409151,Հովհաննես Թումանյանը ժամանակի գրաքննադատական մտքի գնահատությամբ (1890-1913),,2019.0,2019.0,Երևան,ՎՄՎ-Պրինտ,hy,Հայ գրականագիտություն Գրաքննադատություն Հովհաննես Թումանյան,https://arar.sci.am/dlibra/publication/443108/edition/409151
408222,442256,408222,Հովհաննես Թումանյանը մանկագրության խաչմերուկներում,"Հովհաննիսյան, Սուսաննա",2018.0,2018.0,Երևան,Մետրո հրատ.,hy,Հայ գրականագիտություն Մանկական գրականություն Հովհաննես Թումանյան,https://arar.sci.am/dlibra/publication/442256/edition/408222
419702,452000,419702,Հովհաննես Թումանյանի կյանքի և ստեղծագործության տարեգրություն (1909-1914),,2016.0,2016.0,,ՀՀ ԳԱԱ «Գիտություն» հրատ․,hy,Հայ գրողների կյանքն ու գրական գործունեությունը Տարեգրություններ Հովհաննես Թումանյան,https://arar.sci.am/dlibra/publication/452000/edition/419702
368684,398446,368684,Հովհաննես Թումանյանի կյանքի և ստեղծագործության տարեգրություն (1915-1919),,2019.0,2019.0,,ՀՀ ԳԱԱ «Գիտություն» հրատ․,hy,Հովհաննես Թումանյան Հայ գրողների կյանքն ու գրական գործունեությունը Տարեգրություններ,https://arar.sci.am/dlibra/publication/398446/edition/368684
409152,443109,409152,Հովհաննես Թումանյանի կյանքի և ստեղծագործության տարեգրություն (1920-1923),,2020.0,2020.0,,ՀՀ ԳԱԱ «Գիտություն» հրատ․,hy,Հայ գրողների կյանքն ու գրական գործունեությունը Տարեգրություններ Հովհաննես Թումանյան,https://arar.sci.am/dlibra/publication/443109/edition/409152
422265,454722,422265,Հովհաննես Թումանյանի հասարակական գործունեությունը,"Կարապետյան, Լուսիկ",1992.0,1992.0,Երևան,Հայաստանի ԳԱ հրատ.,hy,Հայ գրողների կյանքն ու գործունեությունը Հովհաննես Թումանյան,https://arar.sci.am/dlibra/publication/454722/edition/422265
408192,442109,408192,Հովհաննես Թումանյանի հեքիաթները,"Վարդանյան, Ա. Մ.",1986.0,1986.0,Երևան,ՀՍՍՀ ԳԱ հրատ.,hy,Հայ գրականագիտություն Հովհաննես Թումանյան,https://arar.sci.am/dlibra/publication/442109/edition/408192
398806,431593,398806,Հովհաննես Հովհաննիսյան,"Ասմարյան, Լ. Ա.",1963.0,1963.0,Երևան,ՀՍՍՌ ԳԱ հրատ.,hy,Հայ գրականագիտություն Հայ գրողների կյանքն ու գործունեությունը,https://arar.sci.am/dlibra/publication/431593/edition/398806
375817,406561,375817,Հովհաննես Հովհաննիսյանի արվեստը,"Մուրադյան, Նշան",1964.0,1964.0,Երևան,ՀՍՍՌ ԳԱ հրատ.,hy,Հայ գրականագիտություն Հայ գրողներ,https://arar.sci.am/dlibra/publication/406561/edition/375817
375217,406226,375217,Հուշեր,"Պռոշյան, Պերճ",1940.0,1940.0,Յերևան,Արմֆան հրատ.,hy,Պերճ Պռոշյան Հայ գրականություն Հուշեր,https://arar.sci.am/dlibra/publication/406226/edition/375217
423344,456034,423344,"Հուշեր, հոդվածներ գրականության և արվեստի մասին ; Գրախոսություններ ; Ելույթներ","Իսահակյան, Ավետիք",2020.0,2020.0,Երևան,ՀՀ ԳԱԱ «Գիտություն» հրատ.,hy,Հայ գրականություն Երկերի ժողովածու,https://arar.sci.am/dlibra/publication/456034/edition/423344
385179,416708,385179,Հրանտ Մաթևոսյան,"Գրիգորյան, Վ. Ա.",1989.0,1989.0,Երևան,ՀՍՍՀ ԳԱ հրատ.,hy,Հայ բանասիրություն Հայ գրողների կյանքն ու գործունեությունը,https://arar.sci.am/dlibra/publication/416708/edition/385179
408279,442260,408279,Հրապարակախոսական և գրական-քննադատական հոդվածներ,Րաֆֆի,1991.0,1991.0,Երևան,Նաիրի,hy,Հայ գրականություն Երկերի ժողովածու,https://arar.sci.am/dlibra/publication/442260/edition/408279
418513,450828,418513,"Հրապարակախոսական և գրական-քննադատական հոդվածներ, նամակներ",Րաֆֆի,1999.0,1999.0,Երևան,Սովետական գրող,hy,Հայ գրականություն Երկերի ժողովածու,https://arar.sci.am/dlibra/publication/450828/edition/418513
376412,407272,376412,Հրապարակախոսական հոդվածներ ; Նամակներ և հեռագրեր,"Հակոբյան, Հակոբ",1958.0,1958.0,,ՀՍՍՌ ԳԱ հրատ.,hy,Հայ գրականություն,https://arar.sci.am/dlibra/publication/407272/edition/376412
416732,450339,416732,Ղազախական գրականության անթոլոգիա,,2019.0,2019.0,Երևան,«Բզեզ» հրատ.,hy,Ղազախական գրականություն,https://arar.sci.am/dlibra/publication/450339/edition/416732
374860,405990,374860,Ղևոնդ Ալիշանի հայրենասիրական պոեզիան,"Շտիկյան, Ս․",1959.0,1959.0,Երևան,ՀՍՍՌ ԳԱ հրատ․,hy,Հայ գրականագիտություն Հայ գրողներ,https://arar.sci.am/dlibra/publication/405990/edition/374860
375219,406228,375219,Մ․ Աբեղյանի կյանքն ու գործը,"Տեր-Մինասյան, Եր․",1949.0,1949.0,Երևան,ՀՍՍՌ ԳԱ հրատ.,hy,Մանուկ Աբեղյան Հայ գրողների կյանքն ու գործունեությունը,https://arar.sci.am/dlibra/publication/406228/edition/375219
375222,406231,375222,Մամե ու Զինե,,1956.0,1956.0,Երևան,ՀՍՍՌ ԳԱ հրատ.,hy,Քրդական գրականություն Վիպերգ,https://arar.sci.am/dlibra/publication/406231/edition/375222
